Time,Throughput,RTT,Loss
835,12032,,
836,12032,,
837,12032,,
838,12032,,
839,12032,,
840,12032,,
841,12032,,
842,12032,,
843,12032,,
844,12032,,
845,12032,,
846,12032,,
847,12032,,
848,12032,,
849,12032,,
850,12032,,
851,12032,,
852,12032,,
853,12032,,
854,12032,,
855,12032,,
856,12032,,
857,12032,,
858,12032,,
859,12032,,
860,12032,,
861,12032,,
862,12032,,
863,12032,,
864,12032,,
865,12032,,
866,12032,,
867,12032,,
868,12032,,
869,12032,,
870,12032,,
871,12032,,
872,12032,,
873,12032,,
874,12032,,
875,12032,,
876,12032,,
877,12032,,
878,12032,,
879,12032,,
880,12032,,
881,12032,,
882,12032,,
883,12032,,
884,12032,,
885,12032,,
886,12032,,
887,12032,,
888,12032,,
889,12032,,
890,12032,,
891,12032,,
892,12032,,
893,12032,,
894,12032,,
895,12032,,
896,12032,,
897,12032,,
898,12032,,
899,12032,,
900,12032,,
901,12032,,
902,12032,,
903,12032,,
904,12032,,
905,12032,,
906,12032,,
907,12032,,
908,12032,,
909,12032,,
910,12032,,
911,12032,,
912,12032,,
913,12032,,
914,12032,,
915,12032,,
916,12032,,
917,12032,,
918,12032,,
919,12032,,
920,12032,,
921,12032,,
922,12032,,
923,12032,,
924,12032,,
925,12032,,
926,12032,,
927,12032,,
928,12032,,
929,12032,,
930,12032,,
931,12032,,
932,12032,,
933,12032,,
934,12032,,
935,12032,,
936,12032,,
937,12032,,
938,12032,,
939,12032,,
940,12032,,
941,12032,,
942,12032,,
943,12032,,
944,12032,,
945,12032,,
946,12032,,
947,12032,,
948,12032,,
949,12032,,
950,12032,,
951,12032,,
952,12032,,
953,12032,,
954,12032,,
955,12032,,
956,12032,,
957,12032,,
958,12032,,
959,12032,,
960,12032,,
961,12032,,
962,12032,,
963,12032,,
964,12032,,
965,12032,,
966,12032,,
967,12032,,
968,12032,,
969,12032,,
970,12032,,
971,12032,,
972,12032,,
973,12032,,
974,12032,,
975,12032,,
976,12032,,
977,12032,,
978,12032,,
979,12032,,
980,12032,,
981,12032,,
982,12032,,
983,12032,,
984,12032,,
985,12032,,
986,12032,,
987,12032,,
988,12032,,
989,12032,,
990,12032,,
991,12032,,
992,12032,,
993,12032,,
994,12032,,
995,12032,,
996,12032,,
997,12032,,
998,12032,,
999,12032,,
1000,12032,,
1001,12032,,
1002,12032,,
1003,12032,,
1004,12032,,
1005,12032,,
1006,12032,,
1007,12032,,
1008,12032,,
1009,12032,,
1010,12032,,
1011,12032,,
1012,12032,,
1013,12032,,
1014,12032,,
1015,12032,,
1016,12032,,
1017,12032,,
1018,12032,,
1019,12032,,
1020,12032,,
1021,12032,,
1022,12032,,
1023,12032,,
1024,12032,,
1025,12032,,
1026,12032,,
1027,12032,,
1028,12032,,
1029,12032,,
1030,12032,,
1031,12032,,
1032,12032,,
1033,12032,,
1034,12032,,
1035,12032,,
1036,12032,,
1037,12032,,
1038,12032,,
1039,12032,,
1040,12032,,
1041,12032,,
1042,12032,,
1043,12032,,
1044,12032,,
1045,12032,,
1046,12032,,
1047,12032,,
1048,12032,,
1049,12032,,
1050,12032,,
1051,12032,,
1052,12032,,
1053,12032,,
1054,12032,,
1055,12032,,
1056,12032,,
1057,12032,,
1058,12032,,
1059,12032,,
1060,12032,,
1061,12032,,
1062,12032,,
1063,12032,,
1064,12032,,
1065,12032,,
1066,12032,,
1067,12032,,
1068,12032,,
1069,12032,,
1070,12032,,
1071,12032,,
1072,12032,,
1073,12032,,
1074,12032,,
1075,12032,,
1076,12032,,
1077,12032,,
1078,12032,,
1079,12032,,
1080,12032,,
1081,12032,,
1082,12032,,
1083,12032,,
1084,12032,,
1085,12032,,
1086,12032,,
1087,12032,,
1088,12032,,
1089,12032,,
1090,12032,,
1091,12032,,
1092,12032,,
1093,12032,,
1094,12032,,
1095,12032,,
1096,12032,,
1097,12032,,
1098,12032,,
1099,12032,,
1100,12032,,
1101,12032,,
1102,12032,,
1103,12032,,
1104,12032,,
1105,12032,,
1106,12032,,
1107,12032,,
1108,12032,,
1109,12032,,
1110,12032,,
1111,12032,,
1112,12032,,
1113,12032,,
1114,12032,,
1115,12032,,
1116,12032,,
1117,12032,,
1118,12032,,
1119,12032,,
1120,12032,,
1121,12032,,
1122,12032,,
1123,12032,,
1124,12032,,
1125,12032,,
1126,12032,,
1127,12032,,
1128,12032,,
1129,12032,,
1130,12032,,
1131,12032,,
1132,12032,,
1133,12032,,
1134,12032,,
1135,12032,,
1136,12032,,
1137,12032,,
1138,12032,,
1139,12032,,
1140,12032,,
1141,12032,,
1142,12032,,
1143,12032,,
1144,12032,,
1145,12032,,
1146,12032,,
1147,12032,,
1148,12032,,
1149,12032,,
1150,12032,,
1151,12032,,
1152,12032,,
1153,12032,,
1154,12032,,
1155,12032,,
1156,12032,,
1157,12032,,
1158,12032,,
1159,12032,,
1160,12032,,
1161,12032,,
1162,12032,,
1163,12032,,
1164,12032,,
1165,12032,,
1166,12032,,
1167,12032,,
1168,12032,,
1169,12032,,
1170,12032,,
1171,12032,,
1172,12032,,
1173,12032,,
1174,12032,,
1175,12032,,
1176,12032,,
1177,12032,,
1178,12032,,
1179,12032,,
1180,12032,,
1181,12032,,
1182,12032,,
1183,12032,,
1184,12032,,
1185,12032,,
1186,12032,,
1187,12032,,
1188,12032,,
1189,12032,,
1190,12032,,
1191,12032,,
1192,12032,,
1193,12032,,
1194,12032,,
1195,12032,,
1196,12032,,
1197,12032,,
1198,12032,,
1199,12032,,
1200,12032,,
1201,12032,,
1202,12032,,
1203,12032,,
1204,12032,,
1205,12032,,
1206,12032,,
1207,12032,,
1208,12032,,
1209,12032,,
1210,12032,,
1211,12032,,
1212,12032,,
1213,12032,,
1214,12032,,
1215,12032,,
1216,12032,,
1217,12032,,
1218,12032,,
1219,12032,,
1220,12032,,
1221,12032,,
1222,12032,,
1223,12032,,
1224,12032,,
1225,12032,,
1226,12032,,
1227,12032,,
1228,12032,,
1229,12032,,
1230,12032,,
1231,12032,,
1232,12032,,
1233,12032,,
1234,12032,,
1235,12032,,
1236,12032,,
1237,12032,,
1238,12032,,
1239,12032,,
1240,12032,,
1241,12032,,
1242,12032,,
1243,12032,,
1244,12032,,
1245,12032,,
1246,12032,,
1247,12032,,
1248,12032,,
1249,12032,,
1250,12032,,
1251,12032,,
1252,12032,,
1253,12032,,
1254,12032,,
1255,12032,,
1256,12032,,
1257,12032,,
1258,12032,,
1259,12032,,
1260,12032,,
1261,12032,,
1262,12032,,
1263,12032,,
1264,12032,,
1265,12032,,
1266,12032,,
1267,12032,,
1268,12032,,
1269,12032,,
1270,12032,,
1271,12032,,
1272,12032,,
1273,12032,,
1274,12032,,
1275,12032,,
1276,12032,,
1277,12032,,
1278,12032,,
1279,12032,,
1280,12032,,
1281,12032,,
1282,12032,,
1283,12032,,
1284,12032,,
1285,12032,,
1286,12032,,
1287,12032,,
1288,12032,,
1289,12032,,
1290,12032,,
1291,12032,,
1292,12032,,
1293,12032,,
1294,12032,,
1295,12032,,
1296,12032,,
1297,12032,,
1298,12032,,
1299,12032,,
1300,12032,,
1301,12032,,
1302,12032,,
1303,12032,,
1304,12032,,
1305,12032,,
1306,12032,,
1307,12032,,
1308,12032,,
1309,12032,,
1310,12032,,
1311,12032,,
1312,12032,,
1313,12032,,
1314,12032,,
1315,12032,,
1316,12032,,
1317,12032,,
1318,12032,,
1319,12032,,
1320,12032,,
1321,12032,,
1322,12032,,
1323,12032,,
1324,12032,,
1325,12032,,
1326,12032,,
1327,12032,,
1328,12032,,
1329,12032,,
1330,12032,,
1331,12032,,
1332,12032,,
1333,12032,,
1334,12032,,
1335,12032,,
1336,12032,,
1337,12032,,
1338,12032,,
1339,12032,,
1340,12032,,
1341,12032,,
1342,12032,,
1343,12032,,
1344,12032,,
1345,12032,,
1346,12032,,
1347,12032,,
1348,12032,,
1349,12032,,
1350,12032,,
1351,12032,,
1352,12032,,
1353,12032,,
1354,12032,,
1355,12032,,
1356,12032,,
1357,12032,,
1358,12032,,
1359,12032,,
1360,12032,,
1361,12032,,
1362,12032,,
1363,12032,,
1364,12032,,
1365,12032,,
1366,12032,,
1367,12032,,
1368,12032,,
1369,12032,,
1370,12032,,
1371,12032,,
1372,12032,,
1373,12032,,
1374,12032,,
1375,12032,,
1376,12032,,
1377,12032,,
1378,12032,,
1379,12032,,
1380,12032,,
1381,12032,,
1382,12032,,
1383,12032,,
1384,12032,,
1385,12032,,
1386,12032,,
1387,12032,,
1388,12032,,
1389,12032,,
1390,12032,,
1391,12032,,
1392,12032,,
1393,12032,,
1394,12032,,
1395,12032,,
1396,12032,,
1397,12032,,
1398,12032,,
1399,12032,,
1400,12032,,
1401,12032,,
1402,12032,,
1403,12032,,
1404,12032,,
1405,12032,,
1406,12032,,
1407,12032,,
1408,12032,,
1409,12032,,
1410,12032,,
1411,12032,,
1412,12032,,
1413,12032,,
1414,12032,,
1415,12032,,
1416,12032,,
1417,12032,,
1418,12032,,
1419,12032,,
1420,12032,,
1421,12032,,
1422,12032,,
1423,12032,,
1424,12032,,
1425,12032,,
1426,12032,,
1427,12032,,
1428,12032,,
1429,12032,,
1430,12032,,
1431,12032,,
1432,12032,,
1433,12032,,
1434,12032,,
1435,12032,,
1436,12032,,
1437,12032,,
1438,12032,,
1439,12032,,
1440,12032,,
1441,12032,,
1442,12032,,
1443,12032,,
1444,12032,,
1445,12032,,
1446,12032,,
1447,12032,,
1448,12032,,
1449,12032,,
1450,12032,,
1451,12032,,
1452,12032,,
1453,12032,,
1454,12032,,
1455,12032,,
1456,12032,,
1457,12032,,
1458,12032,,
1459,12032,,
1460,12032,,
1461,12032,,
1462,12032,,
1463,12032,,
1464,12032,,
1465,12032,,
1466,12032,,
1467,12032,,
1468,12032,,
1469,12032,,
1470,12032,,
1471,12032,,
1472,12032,,
1473,12032,,
1474,12032,,
1475,12032,,
1476,12032,,
1477,12032,,
1478,12032,,
1479,12032,,
1480,12032,,
1481,12032,,
1482,12032,,
1483,12032,,
1484,12032,,
1485,12032,,
1486,12032,,
1487,12032,,
1488,12032,,
1489,12032,,
1490,12032,,
1491,12032,,
1492,12032,,
1493,12032,,
1494,12032,,
1495,12032,,
1496,12032,,
1497,12032,,
1498,12032,,
1499,12032,,
1500,12032,,
1501,12032,,
1502,12032,,
1503,12032,,
1504,12032,,
1505,12032,,
1506,12032,,
1507,12032,,
1508,12032,,
1509,12032,,
1510,12032,,
1511,12032,,
1512,12032,,
1513,12032,,
1514,12032,,
1515,12032,,
1516,12032,,
1517,12032,,
1518,12032,,
1519,12032,,
1520,12032,,
1521,12032,,
1522,12032,,
1523,12032,,
1524,12032,,
1525,12032,,
1526,12032,,
1527,12032,,
1528,12032,,
1529,12032,,
1530,12032,,
1531,12032,,
1532,12032,,
1533,12032,,
1534,12032,,
1535,12032,,
1536,12032,,
1537,12032,,
1538,12032,,
1539,12032,,
1540,12032,,
1541,12032,,
1542,12032,,
1543,12032,,
1544,12032,,
1545,12032,,
1546,12032,,
1547,12032,,
1548,12032,,
1549,12032,,
1550,12032,,
1551,12032,,
1552,12032,,
1553,12032,,
1554,12032,,
1555,12032,,
1556,12032,,
1557,12032,,
1558,12032,,
1559,12032,,
1560,12032,,
1561,12032,,
1562,12032,,
1563,12032,,
1564,12032,,
1565,12032,,
1566,12032,,
1567,12032,,
1568,12032,,
1569,12032,,
1570,12032,,
1571,12032,,
1572,12032,,
1573,12032,,
1574,12032,,
1575,12032,,
1576,12032,,
1577,12032,,
1578,12032,,
1579,12032,,
1580,12032,,
1581,12032,,
1582,12032,,
1583,12032,,
1584,12032,,
1585,12032,,
1586,12032,,
1587,12032,,
1588,12032,,
1589,12032,,
1590,12032,,
1591,12032,,
1592,12032,,
1593,12032,,
1594,12032,,
1595,12032,,
1596,12032,,
1597,12032,,
1598,12032,,
1599,12032,,
1600,12032,,
1601,12032,,
1602,12032,,
1603,12032,,
1604,12032,,
1605,12032,,
1606,12032,,
1607,12032,,
1608,12032,,
1609,12032,,
1610,12032,,
1611,12032,,
1612,12032,,
1613,12032,,
1614,12032,,
1615,12032,,
1616,12032,,
1617,12032,,
1618,12032,,
1619,12032,,
1620,12032,,
1621,12032,,
1622,12032,,
1623,12032,,
1624,12032,,
1625,12032,,
1626,12032,,
1627,12032,,
1628,12032,,
1629,12032,,
1630,12032,,
1631,12032,,
1632,12032,,
1633,12032,,
1634,12032,,
1635,12032,,
1636,12032,,
1637,12032,,
1638,12032,,
1639,12032,,
1640,12032,,
1641,12032,,
1642,12032,,
1643,12032,,
1644,12032,,
1645,12032,,
1646,12032,,
1647,12032,,
1648,12032,,
1649,12032,,
1650,12032,,
1651,12032,,
1652,12032,,
1653,12032,,
1654,12032,,
1655,12032,,
1656,12032,,
1657,12032,,
1658,12032,,
1659,12032,,
1660,12032,,
1661,12032,,
1662,12032,,
1663,12032,,
1664,12032,,
1665,12032,,
1666,12032,,
1667,12032,,
1668,12032,,
1669,12032,,
1670,12032,,
1671,12032,,
1672,12032,,
1673,12032,,
1674,12032,,
1675,12032,,
1676,12032,,
1677,12032,,
1678,12032,,
1679,12032,,
1680,12032,,
1681,12032,,
1682,12032,,
1683,12032,,
1684,12032,,
1685,12032,,
1686,12032,,
1687,12032,,
1688,12032,,
1689,12032,,
1690,12032,,
1691,12032,,
1692,12032,,
1693,12032,,
1694,12032,,
1695,12032,,
1696,12032,,
1697,12032,,
1698,12032,,
1699,12032,,
1700,12032,,
1701,12032,,
1702,12032,,
1703,12032,,
1704,12032,,
1705,12032,,
1706,12032,,
1707,12032,,
1708,12032,,
1709,12032,,
1710,12032,,
1711,12032,,
1712,12032,,
1713,12032,,
1714,12032,,
1715,12032,,
1716,12032,,
1717,12032,,
1718,12032,,
1719,12032,,
1720,12032,,
1721,12032,,
1722,12032,,
1723,12032,,
1724,12032,,
1725,12032,,
1726,12032,,
1727,12032,,
1728,12032,,
1729,12032,,
1730,12032,,
1731,12032,,
1732,12032,,
1733,12032,,
1734,12032,,
1735,12032,,
1736,12032,,
1737,12032,,
1738,12032,,
1739,12032,,
1740,12032,,
1741,12032,,
1742,12032,,
1743,12032,,
1744,12032,,
1745,12032,,
1746,12032,,
1747,12032,,
1748,12032,,
1749,12032,,
1750,12032,,
1751,12032,,
1752,12032,,
1753,12032,,
1754,12032,,
1755,12032,,
1756,12032,,
1757,12032,,
1758,12032,,
1759,12032,,
1760,12032,,
1761,12032,,
1762,12032,,
1763,12032,,
1764,12032,,
1765,12032,,
1766,12032,,
1767,12032,,
1768,12032,,
1769,12032,,
1770,12032,,
1771,12032,,
1772,12032,,
1773,12032,,
1774,12032,,
1775,12032,,
1776,12032,,
1777,12032,,
1778,12032,,
1779,12032,,
1780,12032,,
1781,12032,,
1782,12032,,
1783,12032,,
1784,12032,,
1785,12032,,
1786,12032,,
1787,12032,,
1788,12032,,
1789,12032,,
1790,12032,,
1791,12032,,
1792,12032,,
1793,12032,,
1794,12032,,
1795,12032,,
1796,12032,,
1797,12032,,
1798,12032,,
1799,12032,,
1800,12032,,
1801,12032,,
1802,12032,,
1803,12032,,
1804,12032,,
1805,12032,,
1806,12032,,
1807,12032,,
1808,12032,,
1809,12032,,
1810,12032,,
1811,12032,,
1812,12032,,
1813,12032,,
1814,12032,,
1815,12032,,
1816,12032,,
1817,12032,,
1818,12032,,
1819,12032,,
1820,12032,,
1821,12032,,
1822,12032,,
1823,12032,,
1824,12032,,
1825,12032,,
1826,12032,,
1827,12032,,
1828,12032,,
1829,12032,,
1830,12032,,
1831,12032,,
1832,12032,,
1833,12032,,
1834,12032,,
1835,12032,,
1836,12032,,
1837,12032,,
1838,12032,,
1839,12032,,
1840,12032,,
1841,12032,,
1842,12032,,
1843,12032,,
1844,12032,,
1845,12032,,
1846,12032,,
1847,12032,,
1848,12032,,
1849,12032,,
1850,12032,,
1851,12032,,
1852,12032,,
1853,12032,,
1854,12032,,
1855,12032,,
1856,12032,,
1857,12032,,
1858,12032,,
1859,12032,,
1860,12032,,
1861,12032,,
1862,12032,,
1863,12032,,
1864,12032,,
1865,12032,,
1866,12032,,
1867,12032,,
1868,12032,,
